Elapsed time,TPS > Login (success),jp@gc - Active Threads Over Time > »ù×¼½Å±¾
18:57:53.0,25.0,1.0
18:57:53.500,,1.1666666666666667
18:57:54.0,134.0,2.1851851851851856
18:57:54.500,,3.1842105263157894
18:57:55.0,179.0,4.1891891891891895
18:57:55.500,,5.216981132075472
18:57:56.0,292.0,6.18805114638448
18:57:56.500,,7.1891891891891895
18:57:57.0,296.0,8.048543689320386
18:57:57.500,,9.21195652173913
18:57:58.0,434.0,10.180000000000003
18:57:58.500,,11.237209302325581
18:57:59.0,502.0,12.166666666666666
18:57:59.500,,13.151658767772512
18:58:00.0,458.0,14.16597510373444
18:58:00.500,,15.09701073071027
18:58:01.0,363.0,16.247191011235962
18:58:01.500,,17.076086956521735
18:58:02.0,362.0,18.312101910828027
18:58:02.500,,19.14110429447853
18:58:03.0,323.0,20.14457831325301
18:58:03.500,,21.140939597315434
18:58:04.0,388.0,22.12804878048781
18:58:04.500,,23.165775401069517
18:58:05.0,353.0,24.17959763925386
18:58:05.500,,25.169981916817367
18:58:06.0,364.0,26.08974358974359
18:58:06.500,,27.088106813217788
18:58:07.0,393.0,28.097142857142856
18:58:07.500,,29.165
18:58:08.0,347.0,30.15320623628748
18:58:08.500,,31.171597633136095
18:58:09.0,334.0,32.13294797687862
18:58:09.500,,33.09803921568628
18:58:10.0,379.0,34.10614525139665
18:58:10.500,,35.15384615384616
18:58:11.0,369.0,36.182291666666664
18:58:11.500,,37.1225806451613
18:58:12.0,404.0,38.14012332195583
18:58:12.500,,39.16759776536314
18:58:13.0,373.0,40.162211926823495
18:58:13.500,,41.2258925592259
18:58:14.0,380.0,42.152173913043455
18:58:14.500,,43.056179775280896
18:58:15.0,413.0,44.13778836940767
18:58:15.500,,45.15168539325843
18:58:16.0,404.0,46.19780219780221
18:58:16.500,,47.28901734104045
18:58:17.0,397.0,48.16315789473684
18:58:17.500,,49.21195652173913
18:58:18.0,394.0,50.15
18:58:18.500,,51.166666666666664
18:58:19.0,369.0,52.17326732673267
18:58:19.500,,53.15976331360947
18:58:20.0,336.0,54.0939226519337
18:58:20.500,,55.114093959731555
18:58:21.0,391.0,56.058479532163744
18:58:21.500,,57.34426229508197
18:58:22.0,370.0,58.142857142857146
18:58:22.500,,59.177215189873415
18:58:23.0,375.0,60.22793772492568
18:58:23.500,,61.205633802816905
18:58:24.0,376.0,62.17045454545455
18:58:24.500,,63.17012658227848
18:58:25.0,352.0,64.15816326530614
18:58:25.500,,65.12121212121211
18:58:26.0,423.0,66.14892779854415
18:58:26.500,,67.16315789473686
18:58:27.0,404.0,68.129593663162
18:58:27.500,,69.16574585635357
18:58:28.0,362.0,70.1666666666667
18:58:28.500,,71.48044692737427
18:58:29.0,361.0,72.31213872832367
18:58:29.500,,73.18702953097858
18:58:30.0,419.0,74.13658536585365
18:58:30.500,,75.18606857297739
18:58:31.0,387.0,76.0
18:58:31.500,,77.1133004926108
18:58:32.0,431.0,78.16428689563925
18:58:32.500,,79.19398576990204
18:58:33.0,423.0,80.17071330109012
18:58:33.500,,81.14486708144796
18:58:34.0,383.0,82.12499999999999
18:58:34.500,,83.21551300932745
18:58:35.0,355.0,84.15714285714286
18:58:35.500,,85.08805031446542
18:58:36.0,407.0,86.22459893048125
18:58:36.500,,87.16580310880829
18:58:37.0,409.0,88.0
18:58:37.500,,89.15744680851064
18:58:38.0,383.0,90.21345835631551
18:58:38.500,,91.0
18:58:39.0,436.0,92.11946902654867
18:58:39.500,,93.41968911917098
18:58:40.0,395.0,94.10360160071143
18:58:40.500,,95.15942028985508
18:58:41.0,396.0,96.08791208791209
18:58:41.500,,97.18518518518516
18:58:42.0,424.0,98.13559322033899
18:58:42.500,,99.04968944099382
18:58:43.0,280.0,100.0
18:58:43.500,,58.78048780487803
18:58:44.0,4.0,4.5
18:58:44.500,,2.5
18:58:46.0,1.0,
18:58:46.500,,1.0
